type,line of code,function
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/rag_baselines/retrieval.py#L52,
cli,https://github.com/amazon-science/RAGChecker/blob/6091f08c00e676e87a970f2aeb4a23a484746348/scripts/synthesize_benchmark.py#L19,
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/common.py#L32,AmenRa__ranx/set_relevance_level
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L93,AmenRa__ranx/add_score
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L109,AmenRa__ranx/add
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L139,AmenRa__ranx/set_relevance_level
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L147,AmenRa__ranx/get_doc_ids_and_scores
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L191,AmenRa__ranx/save
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L251,AmenRa__ranx/from_file
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L313,AmenRa__ranx/from_parquet
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/qrels.py#L342,AmenRa__ranx/from_ir_datasets
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/report.py#L181,AmenRa__ranx/to_latex
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/report.py#L340,AmenRa__ranx/save
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/report.py#L350,AmenRa__ranx/print_results
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L81,AmenRa__ranx/add_score
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L97,AmenRa__ranx/add
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L131,AmenRa__ranx/get_doc_ids_and_scores
api,https://github.com/AmenRa/ranx/blob/f60b1ac230ab97bd3c6ad2c210f79882293b306d/ranx/data_structures/run.py#L191,AmenRa__ranx/save
